,RECIPE,RECIPE_LINK
174,CHOCO-ELAICHI PEDA,https://food.ndtv.com/recipe-choco-elaichi-peda-955471
175,CHOCOLATE AND CEREAL KI GUJIYA,https://food.ndtv.com/recipe-chocolate-and-cereal-ki-gujiya-956552
176,CHOCOLATE APPO,https://food.ndtv.com/recipe-chocolate-appo-952959
177,CHOCOLATE FROZEN PHIRNI,https://food.ndtv.com/recipe-chocolate-frozen-phirni-954515
178,CHOCOLATE GUJIYA,https://food.ndtv.com/recipe-chocolate-gujiya-957899
179,CHOCOLATE KAJU KATLI,https://food.ndtv.com/recipe-chocolate-kaju-katli-952792
180,CHOCOLATE PRUNES GUJIYAS,https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497
181,CHOCOLATE SAMOSA,https://food.ndtv.com/recipe-chocolate-samosa-952785
182,CHOLE BHATURE,https://food.ndtv.com/recipe-chole-bhature-231327
183,CHOLE SAMOSA CHAAT,https://food.ndtv.com/recipe-chole-samosa-chaat-956041
184,CHOLIA HALWA,https://food.ndtv.com/recipe-cholia-halwa-218281
185,CHOORIE KA PARATHA,https://food.ndtv.com/recipe-choorie-ka-paratha-98851
186,CHUKANDAR KA HALWA WITH VANILLA ICE CREAM,https://food.ndtv.com/recipe-chukandar-ka-halwa-with-vanilla-ice-cream-954516
187,CHUR CHUR NAAN,https://food.ndtv.com/recipe-chur-chur-naan-954470
188,CHURMA,https://food.ndtv.com/recipe-churma-219631
189,CHURUMURI,https://food.ndtv.com/recipe-churumuri-954751
190,COCONUT AND DING LADOO,https://food.ndtv.com/recipe-coconut-and-ding-ladoo-958297
191,COCONUT GUJIYA,https://food.ndtv.com/recipe-coconut-gujiya-492207
192,COCONUT LADOO,https://food.ndtv.com/recipe-coconut-ladoo-951170
193,COCONUT POLI,https://food.ndtv.com/recipe-coconut-poli-957905
194,COCONUT RABRI,https://food.ndtv.com/recipe-coconut-rabri-958465
195,COCONUT RICE,https://food.ndtv.com/recipe-coconut-rice-240324
196,COCONUT TIL LADOO (LADDU),https://food.ndtv.com/recipe-coconut-til-ladoo-laddu-609918
197,COORGI GHEE RICE,https://food.ndtv.com/recipe-coorgi-ghee-rice-958260
198,CRISPY KALAKAND,https://food.ndtv.com/recipe-crispy-kalakand-954387
199,CRUNCHY VEGETABLE DAL SATTU CROQUETTES,https://food.ndtv.com/recipe-crunchy-vegetable-dal-sattu-croquettes-953986
200,CURD RICE,https://food.ndtv.com/recipe-curd-rice-77
201,CURRY LEAVES THOGAYAL,https://food.ndtv.com/recipe-curry-leaves-thogayal-958146
202,CUSTARD APPLE KALAKAND,https://food.ndtv.com/recipe-custard-apple-kalakand-617963
203,CUSTARD APPLE KHEER,https://food.ndtv.com/recipe-custard-apple-kheer-763671
204,DABELI,https://food.ndtv.com/recipe-dabeli-98849
205,DAHI ALOO,https://food.ndtv.com/recipe-dahi-aloo-951200
206,DAHI ANJEER KE KEBAB,https://food.ndtv.com/recipe-dahi-anjeer-ke-kebab-952869
207,DAHI AUR BHINDI,https://food.ndtv.com/recipe-dahi-bhindi-131
208,DAHI BHALLA,https://food.ndtv.com/recipe-dahi-bhalla-344280
209,DAHI CHICKEN,https://food.ndtv.com/recipe-dahi-chicken-951201
210,DAHI KE KEBAB,https://food.ndtv.com/recipe-dahi-ke-kebab-100502
211,DAHI LASOONI CHICKEN,https://food.ndtv.com/recipe-dahi-lasooni-chicken-892854
212,DAHI SAMOSA CHAAT,https://food.ndtv.com/recipe-dahi-samosa-chaat-955909
213,DAHIWALI TOOR DAL,https://food.ndtv.com/recipe-dahiwali-toor-dal-958244
214,DAL BAFLA,https://food.ndtv.com/recipe-dal-bafla-872322
215,DAL KA PARATHA,https://food.ndtv.com/recipe-dal-ka-paratha-98755
216,DAL PARANTHA,https://food.ndtv.com/recipe-dal-parantha-951728
217,DARBARI DAL,https://food.ndtv.com/recipe-darbari-dal-958307
218,DATES AND NUTS LADOO,https://food.ndtv.com/recipe-dates-and-nuts-ladoo-952634
219,DATES HALWA,https://food.ndtv.com/recipe-dates-halwa-khajoor-ka-halwa-219713
220,DHABA-STYLE CHICKEN,https://food.ndtv.com/recipe-dhaba-style-chicken-84
221,DHABE DI ROTI,https://food.ndtv.com/recipe-dhabe-di-roti-708187
222,DHANIWAL KORMA (LAMB KORMA),https://food.ndtv.com/recipe-dhaniwal-qorma-229999
223,DHORA RA GOTAKA,https://food.ndtv.com/recipe-dhora-ra-gotaka-954527
224,DHULI URAD DAL,https://food.ndtv.com/recipe-dhuli-urad-dal-239522
225,DIABETIC-FRIENDLY RABRI,https://food.ndtv.com/recipe-diabetic-friendly-rabri-955412
226,DOLI KI ROTI,https://food.ndtv.com/recipe-doli-ki-roti-958137
227,DRY FRUIT MODAK,https://food.ndtv.com/recipe-dry-fruit-modak-951237
228,DRY MANGO KUZHAMBU,https://food.ndtv.com/recipe-dry-mango-kuzhambu-843568
229,DUDH PULI,https://food.ndtv.com/recipe-dudh-puli-952290
230,DUM PANEER KALI MIRCH,https://food.ndtv.com/recipe-dum-paneer-kali-mirch-277008
231,EASY BREAD POHA,https://food.ndtv.com/recipe-bread-poha-22
232,EASY COCONUT RICE,https://food.ndtv.com/recipe-coconut-rice-951171
233,EASY DAHI BHALLA,https://food.ndtv.com/recipe-dahi-bhalla-113
234,EGG BIRYANI,https://food.ndtv.com/recipe-egg-biryani-100462
235,EGG CHAAT,https://food.ndtv.com/recipe-egg-chaat-231377
236,EGG MAKHANI,https://food.ndtv.com/recipe-egg-makhani-955164
237,EGG MASALA,https://food.ndtv.com/recipe-egg-masala-230889
238,EGG MASALA CURRY,https://food.ndtv.com/recipe-egg-masala-curry-951240
239,EGG PARATHA,https://food.ndtv.com/recipe-egg-paratha-855115
240,EGG SAMOSA,https://food.ndtv.com/recipe-egg-samosa-956117
241,ELNEER PAYASAM,https://food.ndtv.com/recipe-elneer-payasam-958187
242,ELUMBU RASAM,https://food.ndtv.com/recipe-elumbu-rasam-957699
243,ENNAI KATHRIKAI KULAMBU,https://food.ndtv.com/recipe-ennai-kathrikai-kulambu-958601
244,ERISSERY,https://food.ndtv.com/recipe-erissery-417848
245,FALDHARI BADAM KI BARFI (SUGAR FREE),https://food.ndtv.com/recipe-faldhari-badam-ki-burfi-sugar-free-951244
246,FALSA SHERBET,https://food.ndtv.com/recipe-falsa-sherbet-822103
247,FISH BIRYANI,https://food.ndtv.com/recipe-fish-biryani-100404
248,FISH CURRY,https://food.ndtv.com/recipe-fish-curry-239525
249,FISH CURRY WITH LOTUS STEM,https://food.ndtv.com/recipe-fish-curry-with-lotus-stems-312727
250,FLAX SEED AND BEETROOT MODAK,https://food.ndtv.com/recipe-flax-seed-and-beetroot-modak-953928
251,FRANS BEAN NARIYAL WALI,https://food.ndtv.com/recipe-frans-bean-nariyal-wali-98961
252,FRESH ALPHONSO AND CRANBERRY KULFI,https://food.ndtv.com/recipe-fresh-alphonso-and-cranberry-kulfi-694760
253,FRESH MANGO AMRAKHAND,https://food.ndtv.com/recipe-fresh-mango-amrakhand-952212
254,FRIED MODAK,https://food.ndtv.com/recipe-fried-modak-287979
255,GAITH DAL FRITTERS WITH HIMALAYAN CHUTNEY,https://food.ndtv.com/recipe-gaith-dal-fritters-with-himalayan-chutney-952082
256,GAJAR HALWA SUNEHRI STYLE,https://food.ndtv.com/recipe-gajar-halwa-sunehri-style-178266
257,GAJAR HALWA TART,https://food.ndtv.com/recipe-gajar-halwa-tart-953114
258,GAJAR KA HALWA WITH COFFEE GULAB JAMUN,https://food.ndtv.com/recipe-gajar-ka-halwa-with-coffee-gulab-jamun-951447
259,GALOUTI KEBAB,https://food.ndtv.com/recipe-galouti-kebab-230061
260,GARLIC PARATHA,https://food.ndtv.com/recipe-garlic-paratha-240332
261,GEHUN KI KHEER,https://food.ndtv.com/recipe-gehun-ki-kheer-952570
262,GHAVAN,https://food.ndtv.com/recipe-ghavan-953920
263,GHEE ROAST CHICKEN DOSA QUESADILLA,https://food.ndtv.com/recipe-ghee-roast-chicken-dosa-quesadilla-953692
264,GHEWAR,https://food.ndtv.com/recipe-ghewar-549086
265,GHUGNI,https://food.ndtv.com/recipe-ghugni-227986
266,GHYOOR,https://food.ndtv.com/recipe-ghyoor-351839
267,GIRMIT,https://food.ndtv.com/recipe-girmit-958338
268,GLUTEN FREE POLENTA HALWA,https://food.ndtv.com/recipe-gluten-free-polenta-halwa-952831
269,GLUTEN FREE RAGI PARIPU NEER DOSA,https://food.ndtv.com/recipe-gluten-free-ragi-paripu-neer-dosa-958048
270,GOAN EGG CURRY,https://food.ndtv.com/recipe-goan-egg-curry-219553
271,GOAN NEVRI,https://food.ndtv.com/recipe-goan-nevri-466544
272,GOAT BRAIN CUTLETS,https://food.ndtv.com/recipe-goat-brain-cutlets-239509
273,GOBHI KA PARATHA,https://food.ndtv.com/recipe-gobhi-ka-paratha-98858
274,GOKUL PITHE,https://food.ndtv.com/recipe-gokul-pithe-953231
275,GOLI IDLI,https://food.ndtv.com/recipe-goli-idli-955242
276,GONGURA CHICKEN CURRY,https://food.ndtv.com/recipe-gongura-chicken-curry-958462
277,GREEN CHILLY RAITA,https://food.ndtv.com/recipe-green-chilly-raita-366285
278,GREEN FISH CURRY,https://food.ndtv.com/recipe-green-fish-curry-955061
279,GREEN MANGO KULUKKI,https://food.ndtv.com/recipe-green-mango-kulukki-955093
280,GRILLED ALMOND BARFI (SUGAR FREE),https://food.ndtv.com/recipe-grilled-almond-burfee-sugar-free-952798
281,GUD KA HALWA,https://food.ndtv.com/recipe-gud-ka-halwa-239452
282,GUD TIL LADOO,https://food.ndtv.com/recipe-gud-til-ladoo-956120
283,GUILT FREE GALOUTI KEBAB,https://food.ndtv.com/recipe-guilt-free-galouti-kebab-165781
284,GUJARATI GHARI,https://food.ndtv.com/recipe-gujarati-ghari-465352
285,GUJIYA,https://food.ndtv.com/recipe-gujiya-218891
286,GULAB BADAM CHIKKI,https://food.ndtv.com/recipe-gulab-badam-chikki-953186
287,GULAB JAMUN,https://food.ndtv.com/recipe-gulab-jamun-100479
288,GULAB JAMUN,https://food.ndtv.com/recipe-gulab-jamun-709208
289,GULABI PHIRNI,https://food.ndtv.com/recipe-gulab-phirni-313199
290,GULGULE,https://food.ndtv.com/recipe-gulgule-99176
291,GULKAND ICE CREAM,https://food.ndtv.com/recipe-gulkand-ice-cream-958161
292,GULKAND SEVIYAN KHEER,https://food.ndtv.com/recipe-gulkand-seviyan-kheer-952323
293,GUR CHOORMA LADOO,https://food.ndtv.com/recipe-gur-choorma-ladoo-958337
294,GUR KI ROTI,https://food.ndtv.com/recipe-gur-ki-roti-98728
295,GURDA KALEJI KEEMA,https://food.ndtv.com/recipe-gurda-kaleji-keema-294767
296,HALEEM,https://food.ndtv.com/recipe-haleem-738250
297,HALEEM KHOWSUEY,https://food.ndtv.com/recipe-haleem-khowsuey-952474
298,HALF ROAST CHICKEN,https://food.ndtv.com/recipe-half-roast-chicken-952519
299,HANDI PANEER,https://food.ndtv.com/recipe-handi-paneer-953284
300,HARA BHARA KEBAB,https://food.ndtv.com/recipe-hara-bhara-kebab-94
